session_id,user_id,utm_source,utm_medium,utm_campaign,bounced,duration_s,device
52,19,google,cpc,GOOGLE_RETARGET,True,0,mobile
53,19,google,cpc,GOOGLE_RETARGET,True,0,tablet
54,19,email,email,EMAIL_RETARGET,False,1221,mobile
55,20,instagram,social,INSTAGRAM_SPRING24,False,901,desktop
56,20,email,email,EMAIL_SUMMER24,False,370,mobile
57,20,facebook,social,FACEBOOK_BRAND,False,674,desktop
58,20,direct,,,False,575,desktop
59,20,instagram,social,INSTAGRAM_SUMMER24,True,0,tablet
60,20,facebook,social,FACEBOOK_BRAND,False,1472,tablet
61,20,google,cpc,GOOGLE_BRAND,False,1421,tablet
62,21,organic,organic,,False,1046,tablet
63,22,email,email,EMAIL_BRAND,False,1183,tablet
64,22,organic,organic,,False,1108,desktop
65,23,google,cpc,GOOGLE_RETARGET,True,0,tablet
66,23,google,cpc,GOOGLE_SUMMER24,False,1414,mobile
67,23,email,email,EMAIL_SUMMER24,False,81,desktop
68,23,organic,organic,,False,1165,tablet
69,23,organic,organic,,True,0,tablet
70,24,google,cpc,GOOGLE_RETARGET,False,1629,desktop
71,25,google,cpc,GOOGLE_WELCOME,True,0,desktop
72,25,facebook,social,FACEBOOK_WELCOME,False,1134,mobile
73,25,organic,organic,,True,0,desktop
74,25,,,,False,1520,desktop
75,25,instagram,social,INSTAGRAM_BRAND,True,0,mobile
76,25,,,,False,332,desktop
77,25,google,cpc,GOOGLE_BRAND,False,631,tablet
78,26,email,email,EMAIL_WELCOME,False,391,tablet
79,26,instagram,social,INSTAGRAM_BRAND,False,730,mobile
80,26,facebook,social,FACEBOOK_WELCOME,False,1556,desktop
81,27,email,email,EMAIL_SPRING24,True,0,desktop
82,27,facebook,social,FACEBOOK_BRAND,False,514,tablet
83,27,facebook,social,FACEBOOK_SPRING24,False,1121,mobile
84,27,instagram,social,INSTAGRAM_WELCOME,False,1056,mobile
85,27,,,,False,211,tablet
86,27,google,cpc,GOOGLE_SPRING24,True,0,tablet
87,27,google,cpc,GOOGLE_RETARGET,False,436,tablet
88,27,direct,,,False,162,mobile
89,28,google,cpc,GOOGLE_SPRING24,True,0,desktop
90,29,email,email,EMAIL_WELCOME,False,938,desktop
91,29,google,cpc,GOOGLE_SPRING24,False,1328,mobile
92,29,google,cpc,GOOGLE_SPRING24,False,1044,tablet
93,30,facebook,social,FACEBOOK_RETARGET,False,1698,desktop
94,30,instagram,social,INSTAGRAM_SUMMER24,False,1646,tablet
95,31,google,cpc,GOOGLE_WELCOME,False,37,tablet
96,32,google,cpc,GOOGLE_BRAND,False,1136,desktop
97,33,,,,False,1337,mobile
98,34,organic,organic,,True,0,mobile
99,35,direct,,,False,959,mobile
100,36,facebook,social,FACEBOOK_SUMMER24,False,1012,desktop
101,37,facebook,social,FACEBOOK_WELCOME,False,411,desktop
102,38,facebook,social,FACEBOOK_BRAND,True,0,tablet
103,38,email,email,EMAIL_RETARGET,True,0,desktop
104,39,organic,organic,,False,581,mobile
105,40,,,,False,640,mobile
106,40,organic,organic,,True,0,desktop
107,40,,,,False,1298,mobile
108,41,organic,organic,,False,1200,tablet
109,41,direct,,,False,1120,mobile
110,41,facebook,social,FACEBOOK_BRAND,False,610,tablet
111,41,google,cpc,GOOGLE_WELCOME,False,1372,tablet
112,41,google,cpc,GOOGLE_BRAND,True,0,mobile
113,41,organic,organic,,False,314,desktop
114,42,google,cpc,GOOGLE_RETARGET,True,0,desktop
115,42,facebook,social,FACEBOOK_SUMMER24,False,1635,desktop
116,42,,,,False,226,tablet
117,42,email,email,EMAIL_WELCOME,False,1182,tablet
118,42,facebook,social,FACEBOOK_SPRING24,False,785,mobile
119,42,instagram,social,INSTAGRAM_WELCOME,False,1002,mobile
120,43,instagram,social,INSTAGRAM_SUMMER24,True,0,tablet
121,43,google,cpc,GOOGLE_SUMMER24,True,0,tablet
122,44,organic,organic,,False,691,desktop
123,44,instagram,social,INSTAGRAM_BRAND,True,0,desktop
124,44,facebook,social,FACEBOOK_SUMMER24,False,344,tablet
125,44,,,,True,0,mobile
126,45,organic,organic,,False,53,tablet
127,45,email,email,EMAIL_SPRING24,True,0,tablet
128,46,google,cpc,GOOGLE_RETARGET,False,1642,mobile
129,46,google,cpc,GOOGLE_WELCOME,False,1236,mobile
130,46,facebook,social,FACEBOOK_SPRING24,True,0,tablet
131,46,organic,organic,,False,1255,desktop
132,46,direct,,,False,205,mobile
133,46,direct,,,False,1084,mobile
134,46,facebook,social,FACEBOOK_RETARGET,False,795,tablet
135,46,instagram,social,INSTAGRAM_WELCOME,False,491,mobile
136,47,instagram,social,INSTAGRAM_SUMMER24,True,0,tablet
137,48,instagram,social,INSTAGRAM_RETARGET,False,1423,desktop
138,48,google,cpc,GOOGLE_RETARGET,False,534,tablet
139,48,organic,organic,,False,1408,mobile
140,48,organic,organic,,False,381,tablet
141,49,organic,organic,,False,830,tablet
142,49,email,email,EMAIL_RETARGET,False,346,tablet
143,50,email,email,EMAIL_BRAND,False,1462,desktop
144,50,google,cpc,GOOGLE_SPRING24,False,980,desktop
145,51,facebook,social,FACEBOOK_SPRING24,False,1498,desktop
146,52,facebook,social,FACEBOOK_BRAND,True,0,mobile
147,52,instagram,social,INSTAGRAM_SPRING24,True,0,tablet
148,52,instagram,social,INSTAGRAM_SUMMER24,True,0,tablet
149,53,facebook,social,FACEBOOK_SUMMER24,False,751,mobile
150,53,google,cpc,GOOGLE_WELCOME,False,738,desktop
151,54,google,cpc,GOOGLE_SPRING24,False,1140,tablet
152,54,facebook,social,FACEBOOK_WELCOME,True,0,mobile
153,54,direct,,,True,0,desktop
154,55,google,cpc,GOOGLE_WELCOME,False,254,desktop
155,55,instagram,social,INSTAGRAM_BRAND,True,0,desktop
156,56,instagram,social,INSTAGRAM_SUMMER24,False,1603,desktop
157,56,organic,organic,,True,0,mobile
158,56,google,cpc,GOOGLE_SUMMER24,False,485,desktop
159,56,instagram,social,INSTAGRAM_SPRING24,False,554,mobile
160,56,organic,organic,,False,170,mobile
161,56,facebook,social,FACEBOOK_SUMMER24,False,566,tablet
162,56,,,,False,495,desktop
163,57,email,email,EMAIL_BRAND,False,1610,mobile
164,58,instagram,social,INSTAGRAM_SPRING24,False,1123,desktop
165,58,organic,organic,,False,1191,desktop
166,58,direct,,,False,469,mobile
167,59,instagram,social,INSTAGRAM_BRAND,True,0,desktop
168,60,email,email,EMAIL_RETARGET,False,1445,desktop
169,60,google,cpc,GOOGLE_SUMMER24,False,221,tablet
170,61,organic,organic,,True,0,desktop
171,61,facebook,social,FACEBOOK_RETARGET,False,873,desktop
172,61,,,,True,0,mobile
173,61,email,email,EMAIL_WELCOME,False,1152,desktop
174,61,google,cpc,GOOGLE_SUMMER24,False,34,desktop
175,62,instagram,social,INSTAGRAM_WELCOME,False,629,tablet
176,63,organic,organic,,True,0,desktop
177,64,google,cpc,GOOGLE_WELCOME,True,0,desktop
178,64,organic,organic,,False,,mobile
179,65,,,,False,1344,desktop
180,65,facebook,social,FACEBOOK_BRAND,False,1523,mobile
181,66,instagram,social,INSTAGRAM_SUMMER24,False,1326,desktop
182,66,organic,organic,,False,1753,mobile
183,67,facebook,social,FACEBOOK_WELCOME,False,1254,desktop
184,68,email,email,EMAIL_BRAND,False,862,mobile
185,68,organic,organic,,False,1538,mobile
186,68,google,cpc,GOOGLE_SPRING24,True,0,desktop
187,68,google,cpc,GOOGLE_RETARGET,False,185,tablet
188,68,google,cpc,GOOGLE_RETARGET,False,521,desktop
189,68,google,cpc,GOOGLE_SUMMER24,True,0,tablet
190,69,,,,False,572,mobile
191,69,instagram,social,INSTAGRAM_BRAND,False,1307,tablet
192,70,organic,organic,,False,726,mobile
193,70,instagram,social,INSTAGRAM_WELCOME,False,333,mobile
194,71,,,,False,32,desktop
195,71,instagram,social,INSTAGRAM_SPRING24,False,1649,mobile
196,71,organic,organic,,True,0,tablet
197,72,google,cpc,GOOGLE_RETARGET,False,466,desktop
198,72,facebook,social,FACEBOOK_BRAND,False,1417,tablet
199,73,instagram,social,INSTAGRAM_SPRING24,True,0,desktop
200,73,organic,organic,,False,572,desktop
201,73,facebook,social,FACEBOOK_SUMMER24,True,0,tablet
202,73,google,cpc,GOOGLE_SPRING24,False,271,tablet
203,74,google,cpc,GOOGLE_RETARGET,True,0,desktop
204,75,,,,False,691,mobile
205,75,facebook,social,FACEBOOK_RETARGET,True,0,desktop
206,76,email,email,EMAIL_SPRING24,True,0,tablet
207,77,facebook,social,FACEBOOK_SPRING24,True,0,tablet
208,78,organic,organic,,True,0,desktop
209,78,direct,,,True,0,tablet
210,78,email,email,EMAIL_BRAND,False,533,desktop
211,78,facebook,social,FACEBOOK_SPRING24,False,461,mobile
212,79,google,cpc,GOOGLE_WELCOME,False,825,mobile
213,79,organic,organic,,False,1424,desktop
214,79,facebook,social,FACEBOOK_RETARGET,True,0,tablet
215,80,google,cpc,GOOGLE_SUMMER24,False,1635,desktop
216,80,facebook,social,FACEBOOK_BRAND,False,1564,desktop
217,81,organic,organic,,False,290,mobile
218,81,organic,organic,,False,1126,mobile
219,81,google,cpc,GOOGLE_WELCOME,False,974,tablet
220,81,google,cpc,GOOGLE_BRAND,True,0,desktop
221,82,facebook,social,FACEBOOK_SPRING24,False,1051,mobile
222,82,google,cpc,GOOGLE_WELCOME,False,504,mobile
223,82,direct,,,True,0,tablet
224,82,email,email,EMAIL_SUMMER24,False,675,desktop
225,82,google,cpc,GOOGLE_SPRING24,True,0,mobile
226,83,google,cpc,GOOGLE_RETARGET,True,0,mobile
227,84,facebook,social,FACEBOOK_RETARGET,False,1451,mobile
228,84,facebook,social,FACEBOOK_SPRING24,True,0,mobile
229,84,instagram,social,INSTAGRAM_SPRING24,False,1323,tablet
230,85,email,email,EMAIL_SPRING24,False,559,tablet
231,85,email,email,EMAIL_SPRING24,False,1078,tablet
232,85,instagram,social,INSTAGRAM_SUMMER24,True,0,tablet
233,85,organic,organic,,False,1158,desktop
234,86,organic,organic,,False,1453,mobile
235,86,email,email,EMAIL_BRAND,False,706,tablet
236,86,instagram,social,INSTAGRAM_WELCOME,False,1141,desktop
237,86,instagram,social,INSTAGRAM_RETARGET,False,677,tablet
238,87,email,email,EMAIL_WELCOME,False,941,desktop
239,87,organic,organic,,False,,mobile
240,87,facebook,social,FACEBOOK_WELCOME,False,454,mobile
241,88,direct,,,False,1185,mobile
242,88,facebook,social,FACEBOOK_SUMMER24,True,0,tablet
243,88,facebook,social,FACEBOOK_WELCOME,True,0,desktop
244,88,direct,,,False,1638,desktop
245,89,organic,organic,,False,210,desktop
246,89,organic,organic,,False,175,desktop
247,89,,,,False,261,mobile
248,89,direct,,,False,1309,desktop
249,89,google,cpc,GOOGLE_BRAND,False,684,mobile
250,90,organic,organic,,False,927,tablet
251,91,instagram,social,INSTAGRAM_RETARGET,True,0,desktop
252,91,instagram,social,INSTAGRAM_SPRING24,False,552,tablet
253,92,google,cpc,GOOGLE_SUMMER24,False,420,tablet
254,92,google,cpc,GOOGLE_BRAND,False,1088,mobile
255,93,facebook,social,FACEBOOK_BRAND,True,0,tablet
256,94,facebook,social,FACEBOOK_WELCOME,False,1357,desktop
257,94,direct,,,False,920,desktop
258,95,google,cpc,GOOGLE_WELCOME,True,0,tablet
259,96,organic,organic,,True,0,tablet
260,96,direct,,,True,0,tablet
261,96,facebook,social,FACEBOOK_RETARGET,True,0,mobile
262,96,google,cpc,GOOGLE_BRAND,False,544,tablet
263,96,organic,organic,,False,786,tablet
264,97,google,cpc,GOOGLE_WELCOME,True,0,tablet
265,97,facebook,social,FACEBOOK_RETARGET,False,32,tablet
266,97,organic,organic,,False,752,mobile
267,98,facebook,social,FACEBOOK_RETARGET,False,1468,desktop
268,99,instagram,social,INSTAGRAM_SUMMER24,True,0,desktop
269,99,,,,True,0,tablet
270,100,facebook,social,FACEBOOK_SUMMER24,True,0,tablet
271,100,facebook,social,FACEBOOK_WELCOME,True,0,tablet
272,101,organic,organic,,False,1683,tablet
273,102,google,cpc,GOOGLE_RETARGET,False,194,tablet
274,102,organic,organic,,False,1420,mobile
275,102,google,cpc,GOOGLE_WELCOME,False,689,mobile
276,102,organic,organic,,False,1415,mobile
277,102,organic,organic,,False,291,mobile
278,102,direct,,,False,1156,tablet
279,102,google,cpc,GOOGLE_SUMMER24,False,1582,desktop
280,103,instagram,social,INSTAGRAM_WELCOME,True,0,mobile
281,103,google,cpc,GOOGLE_SPRING24,False,1268,tablet
282,103,organic,organic,,True,0,mobile
283,103,google,cpc,GOOGLE_RETARGET,True,0,tablet
284,103,organic,organic,,False,1760,desktop
285,103,google,cpc,GOOGLE_SUMMER24,True,0,mobile
286,103,,,,False,430,mobile
287,104,direct,,,False,680,mobile
288,105,google,cpc,GOOGLE_RETARGET,False,822,tablet
289,105,organic,organic,,False,1457,tablet
290,106,email,email,EMAIL_SPRING24,False,518,desktop
291,107,organic,organic,,False,1306,mobile
292,107,instagram,social,INSTAGRAM_WELCOME,False,600,desktop
293,107,organic,organic,,True,0,tablet
294,107,instagram,social,INSTAGRAM_RETARGET,True,0,tablet
295,107,google,cpc,GOOGLE_BRAND,False,1440,desktop
296,107,facebook,social,FACEBOOK_SPRING24,True,0,tablet
297,107,direct,,,True,0,desktop
298,107,organic,organic,,False,350,mobile
299,108,instagram,social,INSTAGRAM_WELCOME,True,0,tablet
300,109,direct,,,True,0,tablet
301,109,google,cpc,GOOGLE_SUMMER24,False,1173,mobile
302,110,google,cpc,GOOGLE_SPRING24,False,648,desktop
303,111,google,cpc,GOOGLE_SUMMER24,False,22,desktop
304,112,direct,,,True,0,desktop
305,113,organic,organic,,False,919,tablet
306,114,facebook,social,FACEBOOK_BRAND,False,440,mobile
307,115,google,cpc,GOOGLE_SPRING24,False,1731,desktop
308,116,google,cpc,GOOGLE_SUMMER24,True,0,desktop
309,116,organic,organic,,False,1187,mobile
310,116,email,email,EMAIL_WELCOME,False,205,desktop
311,116,direct,,,False,1742,desktop
312,116,google,cpc,GOOGLE_WELCOME,False,862,tablet
313,116,organic,organic,,True,0,tablet
314,117,,,,False,1629,desktop
315,117,organic,organic,,False,1091,tablet
316,117,direct,,,False,1508,desktop
317,117,,,,False,,mobile
318,117,organic,organic,,True,0,mobile
319,117,,,,False,1162,mobile
320,117,organic,organic,,False,536,desktop
321,118,facebook,social,FACEBOOK_SPRING24,True,0,desktop
322,118,facebook,social,FACEBOOK_BRAND,False,74,mobile
323,119,,,,False,87,desktop
324,119,organic,organic,,False,1114,desktop
325,120,,,,False,1172,desktop
326,120,instagram,social,INSTAGRAM_SUMMER24,False,694,desktop
327,120,,,,True,0,desktop
328,120,instagram,social,INSTAGRAM_SUMMER24,False,812,mobile
329,121,organic,organic,,False,79,mobile
330,121,,,,False,634,desktop
331,121,google,cpc,GOOGLE_SPRING24,False,204,mobile
332,121,,,,False,1005,tablet
333,121,email,email,EMAIL_SUMMER24,False,216,tablet
334,122,google,cpc,GOOGLE_SPRING24,False,1476,mobile
335,122,facebook,social,FACEBOOK_SPRING24,False,1232,desktop
336,122,,,,False,1541,tablet
337,123,,,,True,0,desktop
338,123,facebook,social,FACEBOOK_RETARGET,False,573,desktop
339,123,google,cpc,GOOGLE_BRAND,False,224,desktop
340,123,facebook,social,FACEBOOK_SUMMER24,False,1661,mobile
341,124,organic,organic,,False,923,mobile
342,125,google,cpc,GOOGLE_RETARGET,True,0,desktop
343,125,google,cpc,GOOGLE_BRAND,False,1304,tablet
344,126,facebook,social,FACEBOOK_SUMMER24,False,1388,mobile
345,126,organic,organic,,True,0,tablet
346,127,facebook,social,FACEBOOK_RETARGET,False,473,tablet
347,127,,,,False,1377,desktop
348,128,google,cpc,GOOGLE_SPRING24,False,959,desktop
349,128,organic,organic,,True,0,mobile
350,129,email,email,EMAIL_WELCOME,False,160,tablet
351,129,instagram,social,INSTAGRAM_RETARGET,True,0,mobile
352,130,facebook,social,FACEBOOK_WELCOME,True,0,tablet
353,130,instagram,social,INSTAGRAM_RETARGET,False,715,mobile
354,130,organic,organic,,True,0,tablet
355,131,google,cpc,GOOGLE_BRAND,False,1151,desktop
356,131,facebook,social,FACEBOOK_RETARGET,True,0,mobile
357,131,email,email,EMAIL_RETARGET,False,1335,mobile
358,132,direct,,,False,15,tablet
359,133,facebook,social,FACEBOOK_BRAND,False,436,desktop
360,134,,,,False,905,desktop
361,135,google,cpc,GOOGLE_BRAND,False,276,mobile
362,135,direct,,,True,0,tablet
363,135,google,cpc,GOOGLE_WELCOME,False,496,tablet
364,135,organic,organic,,False,846,tablet
365,135,organic,organic,,False,400,desktop
366,135,google,cpc,GOOGLE_SUMMER24,True,0,mobile
367,135,google,cpc,GOOGLE_RETARGET,False,293,tablet
368,135,direct,,,False,886,desktop
369,136,email,email,EMAIL_RETARGET,False,395,mobile
370,136,instagram,social,INSTAGRAM_SUMMER24,False,566,tablet
371,137,direct,,,False,246,tablet
372,137,google,cpc,GOOGLE_BRAND,False,1552,desktop
373,137,google,cpc,GOOGLE_BRAND,True,0,desktop
374,138,,,,False,1649,tablet
375,138,direct,,,True,0,desktop
376,138,direct,,,False,737,desktop
377,139,organic,organic,,False,637,tablet
378,140,organic,organic,,False,1359,tablet
379,141,instagram,social,INSTAGRAM_SUMMER24,False,1758,desktop
380,141,organic,organic,,True,0,desktop
381,141,email,email,EMAIL_BRAND,True,0,tablet
382,142,facebook,social,FACEBOOK_SUMMER24,True,0,tablet
383,142,instagram,social,INSTAGRAM_BRAND,False,717,mobile
384,142,email,email,EMAIL_RETARGET,False,502,tablet
385,142,google,cpc,GOOGLE_WELCOME,True,0,desktop
386,143,google,cpc,GOOGLE_RETARGET,False,632,tablet
387,143,facebook,social,FACEBOOK_RETARGET,False,312,desktop
388,143,facebook,social,FACEBOOK_RETARGET,False,661,tablet
389,143,google,cpc,GOOGLE_BRAND,False,1744,tablet
390,144,facebook,social,FACEBOOK_SPRING24,True,0,tablet
391,144,instagram,social,INSTAGRAM_SUMMER24,False,1220,tablet
392,144,organic,organic,,False,656,tablet
393,144,email,email,EMAIL_SPRING24,False,1090,desktop
394,144,google,cpc,GOOGLE_WELCOME,True,0,mobile
395,145,google,cpc,GOOGLE_BRAND,False,1726,tablet
396,146,,,,False,784,tablet
397,146,email,email,EMAIL_SUMMER24,False,1439,desktop
398,146,organic,organic,,True,0,desktop
399,147,email,email,EMAIL_WELCOME,True,0,mobile
400,147,email,email,EMAIL_RETARGET,False,138,desktop
401,147,instagram,social,INSTAGRAM_RETARGET,False,425,mobile
402,147,instagram,social,INSTAGRAM_SUMMER24,False,898,tablet
403,147,direct,,,True,0,mobile
404,147,organic,organic,,True,0,desktop
405,148,google,cpc,GOOGLE_SPRING24,False,1376,mobile
406,149,organic,organic,,False,1593,desktop
407,149,direct,,,False,1121,desktop
408,149,google,cpc,GOOGLE_BRAND,False,750,desktop
409,149,google,cpc,GOOGLE_SPRING24,False,1762,mobile
410,150,organic,organic,,True,0,mobile
411,150,organic,organic,,False,813,tablet
412,150,instagram,social,INSTAGRAM_RETARGET,False,301,mobile
413,150,facebook,social,FACEBOOK_RETARGET,True,0,tablet
414,150,facebook,social,FACEBOOK_BRAND,False,1677,mobile
415,151,facebook,social,FACEBOOK_SPRING24,False,448,tablet
416,152,direct,,,False,492,mobile
417,152,instagram,social,INSTAGRAM_SPRING24,False,1281,tablet
418,152,google,cpc,GOOGLE_SUMMER24,False,644,mobile
419,153,email,email,EMAIL_SPRING24,False,232,tablet
420,153,facebook,social,FACEBOOK_SUMMER24,False,1676,tablet
421,154,google,cpc,GOOGLE_BRAND,False,673,mobile
422,154,google,cpc,GOOGLE_SUMMER24,False,262,desktop
423,154,organic,organic,,False,913,tablet
424,155,email,email,EMAIL_BRAND,False,,desktop
425,156,google,cpc,GOOGLE_SPRING24,False,1230,desktop
426,157,organic,organic,,True,0,tablet
427,157,instagram,social,INSTAGRAM_RETARGET,True,0,mobile
428,157,organic,organic,,False,1268,tablet
429,157,facebook,social,FACEBOOK_SPRING24,False,408,tablet
430,158,facebook,social,FACEBOOK_BRAND,False,965,tablet
431,158,facebook,social,FACEBOOK_SUMMER24,True,0,mobile
432,158,direct,,,False,342,mobile
433,158,organic,organic,,False,905,tablet
434,158,,,,True,0,mobile
435,158,instagram,social,INSTAGRAM_SUMMER24,False,1008,mobile
436,158,facebook,social,FACEBOOK_RETARGET,False,682,tablet
437,159,facebook,social,FACEBOOK_SPRING24,False,215,desktop
438,159,google,cpc,GOOGLE_SUMMER24,True,0,tablet
439,159,google,cpc,GOOGLE_RETARGET,True,0,tablet
440,160,facebook,social,FACEBOOK_RETARGET,False,1309,desktop
441,160,facebook,social,FACEBOOK_SPRING24,False,137,mobile
442,161,instagram,social,INSTAGRAM_WELCOME,True,0,desktop
443,161,email,email,EMAIL_BRAND,False,1198,mobile
444,161,instagram,social,INSTAGRAM_BRAND,False,458,desktop
445,161,google,cpc,GOOGLE_RETARGET,False,520,desktop
446,161,direct,,,True,0,tablet
447,162,,,,False,1589,desktop
448,162,facebook,social,FACEBOOK_SPRING24,False,507,mobile
449,162,,,,False,1341,mobile
450,162,organic,organic,,True,0,desktop
451,162,email,email,EMAIL_SPRING24,False,964,tablet
452,162,google,cpc,GOOGLE_WELCOME,False,1456,tablet
453,163,organic,organic,,False,622,desktop
454,164,organic,organic,,False,1628,tablet
455,164,organic,organic,,True,0,tablet
456,164,,,,False,1282,desktop
457,164,organic,organic,,False,1163,mobile
458,165,facebook,social,FACEBOOK_SPRING24,False,1525,tablet
459,166,email,email,EMAIL_SUMMER24,False,562,desktop
460,166,google,cpc,GOOGLE_WELCOME,False,1010,mobile
461,166,organic,organic,,False,1106,desktop
462,166,facebook,social,FACEBOOK_SPRING24,True,0,desktop
463,166,google,cpc,GOOGLE_SUMMER24,False,172,desktop
464,167,instagram,social,INSTAGRAM_SUMMER24,False,1299,desktop
465,168,,,,False,1525,desktop
466,168,google,cpc,GOOGLE_SUMMER24,False,1079,desktop
467,168,facebook,social,FACEBOOK_WELCOME,False,1378,tablet
468,168,instagram,social,INSTAGRAM_BRAND,True,0,desktop
469,168,email,email,EMAIL_SUMMER24,False,605,mobile
470,168,facebook,social,FACEBOOK_RETARGET,False,1281,tablet
471,168,facebook,social,FACEBOOK_SUMMER24,False,1433,mobile
472,169,google,cpc,GOOGLE_WELCOME,False,917,mobile
473,170,google,cpc,GOOGLE_WELCOME,False,317,tablet
474,171,facebook,social,FACEBOOK_SPRING24,False,1037,desktop
475,171,google,cpc,GOOGLE_BRAND,False,693,desktop
476,171,direct,,,False,1189,tablet
477,171,facebook,social,FACEBOOK_SPRING24,False,97,tablet
478,171,facebook,social,FACEBOOK_RETARGET,False,466,mobile
479,171,google,cpc,GOOGLE_SUMMER24,False,469,desktop
480,171,google,cpc,GOOGLE_BRAND,False,1401,mobile
481,172,google,cpc,GOOGLE_WELCOME,False,1062,tablet
482,172,facebook,social,FACEBOOK_RETARGET,False,,desktop
483,172,facebook,social,FACEBOOK_RETARGET,False,194,desktop
484,172,direct,,,False,1665,desktop
485,172,,,,False,191,desktop
486,172,direct,,,False,1224,mobile
487,172,instagram,social,INSTAGRAM_WELCOME,False,1153,tablet
488,173,google,cpc,GOOGLE_RETARGET,False,1019,desktop
489,173,facebook,social,FACEBOOK_BRAND,False,474,mobile
490,173,facebook,social,FACEBOOK_RETARGET,True,0,tablet
491,173,instagram,social,INSTAGRAM_RETARGET,False,1335,mobile
492,174,,,,False,1205,desktop
493,174,organic,organic,,False,1436,desktop
494,174,organic,organic,,True,0,desktop
495,174,organic,organic,,True,0,desktop
496,175,facebook,social,FACEBOOK_SPRING24,True,0,desktop
497,175,,,,False,1099,mobile
498,175,google,cpc,GOOGLE_SUMMER24,False,1241,tablet
499,175,direct,,,False,631,tablet
500,175,google,cpc,GOOGLE_BRAND,False,,tablet
501,176,instagram,social,INSTAGRAM_WELCOME,False,348,mobile
502,177,google,cpc,GOOGLE_BRAND,False,1717,tablet
503,177,organic,organic,,False,248,mobile
504,178,,,,False,757,desktop
505,179,email,email,EMAIL_WELCOME,True,0,desktop
506,179,email,email,EMAIL_SPRING24,True,0,tablet
507,179,organic,organic,,False,444,mobile
508,179,organic,organic,,False,,desktop
509,179,google,cpc,GOOGLE_SPRING24,True,0,tablet
510,179,organic,organic,,False,533,desktop
511,180,google,cpc,GOOGLE_SPRING24,False,435,mobile
512,180,organic,organic,,True,0,mobile
513,180,direct,,,False,343,tablet
514,181,organic,organic,,True,0,tablet
515,181,instagram,social,INSTAGRAM_SUMMER24,False,366,tablet
516,181,,,,True,0,tablet
517,182,facebook,social,FACEBOOK_BRAND,True,0,tablet
518,182,google,cpc,GOOGLE_WELCOME,False,883,mobile
519,182,google,cpc,GOOGLE_WELCOME,True,0,mobile
520,182,google,cpc,GOOGLE_WELCOME,False,1156,mobile
521,182,instagram,social,INSTAGRAM_RETARGET,False,1244,tablet
522,183,facebook,social,FACEBOOK_RETARGET,False,1766,mobile
523,183,,,,False,,tablet
524,183,organic,organic,,False,1085,mobile
